run_id,benchmark,lambda_val,f_stat,p_value,r2_restricted,r2_unrestricted,is_significant_05
0,hbar,0.05,3.9445378098158237,0.023809603374043586,0.65,0.834,True
1,hbar,0.05,2.9360119203196287,0.05964485591624746,0.65,0.834,False
2,hbar,0.05,4.278838396854843,0.017653438102444796,0.65,0.834,True
3,hbar,0.05,4.4214235372934105,0.015550736044735891,0.65,0.834,True
4,hbar,0.05,2.2527236085096227,0.11268094848977794,0.65,0.834,False
5,hbar,0.05,2.7393653698532616,0.07154360277609784,0.65,0.834,False
6,hbar,0.05,3.811880302375464,0.026829812389495333,0.65,0.834,True
7,hbar,0.05,3.4788180557423134,0.036276153533903566,0.65,0.834,True
8,hbar,0.05,3.7033991318717834,0.029591211681303298,0.65,0.834,True
9,hbar,0.05,3.076217054319815,0.052420211292568686,0.65,0.834,False
10,hbar,0.05,4.3755484811471215,0.01619757428619606,0.65,0.834,True
11,hbar,0.05,4.299343951571712,0.017333889958774162,0.65,0.834,True
12,hbar,0.05,3.7655230231709123,0.027975887839556735,0.65,0.834,True
13,hbar,0.05,4.561430905226025,0.013736049810750273,0.65,0.834,True
14,hbar,0.05,4.0666320066890345,0.021338925358774352,0.65,0.834,True
15,hbar,0.05,3.0715306528375717,0.05264652718568685,0.65,0.834,False
16,hbar,0.05,3.9925630880618743,0.022804425197589517,0.65,0.834,True
17,hbar,0.05,2.996838049378251,0.05639239363616666,0.65,0.834,False
18,hbar,0.05,4.374837725980455,0.01620781081115852,0.65,0.834,True
19,hbar,0.05,3.6785555667603105,0.03026376116157181,0.65,0.834,True
20,hbar,0.05,3.577353227341055,0.03317008512529107,0.65,0.834,True
21,hbar,0.05,3.205302841697044,0.04656439052907457,0.65,0.834,True
22,hbar,0.05,4.632906004005523,0.012895092073462289,0.65,0.834,True
23,hbar,0.05,3.6001028884483985,0.03249266794280403,0.65,0.834,True
24,hbar,0.05,3.3947541333776696,0.03916204589496486,0.65,0.834,True
25,hbar,0.05,3.451899837133828,0.037175641370111645,0.65,0.834,True
26,hbar,0.05,4.1152318891650115,0.020430299286991582,0.65,0.834,True
27,hbar,0.05,3.9900830482730587,0.022855248320531873,0.65,0.834,True
28,hbar,0.05,4.025549458696991,0.02213938883769495,0.65,0.834,True
29,hbar,0.05,4.0391157522559125,0.021871699232215103,0.65,0.834,True
