id,doi,title,year,journal,url
P01_0018,10.1145/3770749,AI Alignment: A Contemporary Survey,2025,,https://doi.org/10.1145/3770749
P01_0019,10.65109/HQQZ1937,The Multi-Agent Off-Switch Game,2026,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,https://doi.org/10.65109/HQQZ1937
P01_0036,10.1145/3362077.3362089,The necessary roadblock to artificial general intelligence: corrigibility,2019,,https://doi.org/10.1145/3362077.3362089
P01_0185,10.18653/v1/2025.acl-long.865,Fixing Distribution Shifts of LLM Self-Critique via On-Policy Self-Play Training,2025,Proceedings of the Annual Meeting of the Association for Computational Linguistics,https://www.scopus.com/pages/publications/105021051450?origin=resultslist
P01_0194,10.65109/CSL07280,Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination,2026,AAMAS 2026 - Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,https://www.scopus.com/pages/publications/105041413400?origin=resultslist
P01_0195,10.1007/978-981-95-4384-7_36,Alignment with Psychological Concept Network,2026,Lecture Notes in Computer Science,https://www.scopus.com/pages/publications/105022076024?origin=resultslist
P01_0202,10.1109/ICISS67859.2026.11453907,"Artificial Superintelligence: Computational Pathways, Architectures, and Safety Constraints",2026,"Proceedings of 8th International Conference on Intelligent Sustainable Systems, ICISS 2026",https://www.scopus.com/pages/publications/105036974262?origin=resultslist
P01_0205,10.65109/NLVD8864,Learning the Value Systems of Societies with Preference-based Multi-objective Reinforcement Learning,2026,AAMAS 2026 - Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,https://www.scopus.com/pages/publications/105041455250?origin=resultslist
P01_0209,10.4324/9781032703466-50,Indian Culture and Physical Literacy Philosophical Alignment,2026,Routledge Handbook of Physical Literacy,https://www.scopus.com/pages/publications/105038493567?origin=resultslist
P01_0211,10.1002/9781394258840,Contemporary Debates in the Ethics of Artificial Intelligence,2026,Contemporary Debates in the Ethics of Artificial Intelligence,https://www.scopus.com/pages/publications/105032881854?origin=resultslist
P01_0213,10.1007/s42044-025-00370-5,"A comprehensive introspection on AI risks: taxonomy, challenges, and future directions",2026,Iran Journal of Computer Science,https://www.scopus.com/pages/publications/105026636529?origin=resultslist
P01_0214,10.1145/3796263.3796290,Value Function Shaping-Based Backdoor Attacks on Deep Reinforcement Learning for UAV Navigation,2026,"Proceedings of 2026 18th International Conference on Computer Research and Development, ICCRD 2026",https://www.scopus.com/pages/publications/105039899466?origin=resultslist
P01_0219,10.1002/9781394258840.ch18,The Many Faces of AI Alignment,2026,Contemporary Debates in the Ethics of Artificial Intelligence,https://www.scopus.com/pages/publications/105032856415?origin=resultslist
P01_0220,10.1007/s10503-026-09704-4,Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?,2026,Argumentation,https://www.scopus.com/pages/publications/105037337006?origin=resultslist
P01_0231,10.1016/j.energy.2026.140027,Secure and trustworthy energy systems: A four-layer threat model and defense-in-depth framework,2026,Energy,https://www.scopus.com/pages/publications/105028351852?origin=resultslist
P01_0245,10.1109/ISOIRS70157.2026.11545282,Exploring Research Trends in the Design and Optimization of Generative Artificial Intelligence Agent Systems Based on Human Value Alignment,2026,Proceedings of ISoIRS 2026 - Moving Towards Embodied Intelligence in the AI Age: 2026 6th International Symposium on Intelligent Robotics and Systems,https://www.scopus.com/pages/publications/105042495297?origin=resultslist
P01_0248,10.1145/3774905.3795091,"Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective",2026,WWW Companion 2026 - Companion Proceedings of the ACM Web Conference 2026,https://www.scopus.com/pages/publications/105041928834?origin=resultslist
P01_0250,10.1007/978-3-032-15112-4_48,Human-Machine Moral Divergence,2026,The Palgrave Handbook on the Ethics of Artificial Intelligence,https://www.scopus.com/pages/publications/105043203119?origin=resultslist
P01_0251,10.1109/TPAMI.2026.3692227,Parallel Diffusion Solver via Residual Dirichlet Policy Optimization,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,https://www.scopus.com/pages/publications/105038892482?origin=resultslist
P01_0252,10.1007/978-3-032-09315-8_11,The Power of Stories: Narrative Priming in Networked Multi-Agent LLM Interactions,2026,Lecture Notes in Computer Science,https://www.scopus.com/pages/publications/105022707019?origin=resultslist
P01_0256,10.3788/LOP250829,Quantitative Analysis Model for Multi-Component Gas Infrared Spectrum Based on the Transformer Structure,2026,Laser and Optoelectronics Progress,https://www.scopus.com/pages/publications/105029799254?origin=resultslist
P01_0259,10.1002/9781394258840.ch19,Could We Control Superintelligent AI?,2026,Contemporary Debates in the Ethics of Artificial Intelligence,https://www.scopus.com/pages/publications/105032911785?origin=resultslist
P01_0263,10.1007/978-3-032-30846-7_36,"They Do the Right Thing, Right? Large Language Models’ Decisions in Ethical Dilemmas Involving Robots",2026,Lecture Notes in Computer Science,https://www.scopus.com/pages/publications/105044956852?origin=resultslist
P01_0272,10.1109/AINIT70033.2026.11557612,"Procedural Compliance, Substantive Transgression: Uncovering How Alignment Failures in the Doubao System Drive Boundary Violations in Professional Contexts",2026,"2026 7th International Seminar on Artificial Intelligence, Networking and Information Technology, AINIT 2026",https://www.scopus.com/pages/publications/105043701073?origin=resultslist
P01_0274,10.16182/j.issn1004731x.joss.25-FZ0646E,A Method of Heuristic Human-LLM Collaborative Source Search,2025,Xitong Fangzhen Xuebao / Journal of System Simulation,https://www.scopus.com/pages/publications/105027227358?origin=resultslist
P01_0275,10.1007/978-3-032-13063-1_11,Exploring ‘Value Alignment’: A Genealogy and Three Conceptions,2026,"Law, Governance and Technology Series",https://www.scopus.com/pages/publications/105036194498?origin=resultslist
P01_0276,10.1080/00140139.2025.2456535,Bidirectional transparency in human-agent communications: effects of direction and level of transparency,2026,Ergonomics,https://www.scopus.com/pages/publications/85216324251?origin=resultslist
P01_0278,10.1007/978-3-032-00800-8_34,Heterogeneous Value Alignment Evaluation for Large Language Models,2026,Lecture Notes in Computer Science,https://www.scopus.com/pages/publications/105013624421?origin=resultslist
P01_0287,10.1080/0965254X.2026.2682414,"The phygital intelligence value experience (PHIVE) matrix: the good, the bad, and the ugly of AI marketing for customer experience design",2026,Journal of Strategic Marketing,https://www.scopus.com/pages/publications/105041080312?origin=resultslist
P01_0293,10.1080/1369118X.2025.2557549,Anthropomorphic traits and user loyalty: exploring the mediating role of perceived value in chatbot usage in China,2026,Information Communication and Society,https://www.scopus.com/pages/publications/105017467916?origin=resultslist
P01_0295,10.1109/ICAACE69793.2026.11508785,LA-EDPO: Length-Aware Effect-Enhanced Direct Preference Optimization,2026,"2026 9th International Conference on Advanced Algorithms and Control Engineering, ICAACE 2026",https://www.scopus.com/pages/publications/105041642997?origin=resultslist
P01_0306,10.1007/978-981-95-3658-0_72,Human-AI Interaction in LLM,2026,Handbook of Human-Centered Artificial Intelligence,https://www.scopus.com/pages/publications/105043053083?origin=resultslist
P01_0329,10.1109/SoutheastCon63549.2026.11476287,A Mathematical Framework for Wise AI,2026,Conference Proceedings - IEEE SOUTHEASTCON,https://www.scopus.com/pages/publications/105037855625?origin=resultslist
P01_0335,10.1109/MIS.2026.3652763,Generative Artificial Intelligence for Social Impact,2026,IEEE Intelligent Systems,https://www.scopus.com/pages/publications/105036438848?origin=resultslist
P01_0358,10.11897/SP.J.1016.2026.00497,Reinforcement Learning from X-Feedback: Recent Advances and Future Prospects,2026,Jisuanji Xuebao/Chinese Journal of Computers,https://www.scopus.com/pages/publications/105038688649?origin=resultslist
P01_0367,10.1177/09637214251407571,Toward Complementary Intelligence: Integrating Cognitive and Machine AI,2026,Current Directions in Psychological Science,https://www.scopus.com/pages/publications/105029479221?origin=resultslist
P01_0384,10.1109/ICDEW71238.2026.00009,RewardHackingAgents: Benchmarking Evaluation Integrity for LLM ML-Engineering Agents,2026,"Proceedings - 2026 IEEE 42nd International Conference on Data Engineering Workshops, ICDEW 2026",https://www.scopus.com/pages/publications/105043490434?origin=resultslist
P01_0405,10.5220/0014481700004052,A Cognitively Plausible Neural-Symbolic Model for Syntactic Disambiguation in Minimalist Grammar,2026,International Conference on Agents and Artificial Intelligence,https://www.scopus.com/pages/publications/105041752921?origin=resultslist
P01_0407,10.65109/BWFN6920,Preventing Process Reward Model Hacking When Training Large Language Models on Verifiable Rewards,2026,AAMAS 2026 - Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,https://www.scopus.com/pages/publications/105041432010?origin=resultslist
P01_0409,10.1007/s13347-026-01137-x,"The Ultimate Consequence: Why Humanity, Not AI, Ends Itself – A Reply to Lavazza and Vilaça",2026,Philosophy and Technology,https://www.scopus.com/pages/publications/105043103091?origin=resultslist
P01_0414,10.16719/j.cnki.1671-6981.20260103,Moral Endogeneity in Artificial Intelligence from the Perspective of Moral Development: A Case Study of Large Language Models,2026,Journal of Psychological Science,https://www.scopus.com/pages/publications/105028993381?origin=resultslist
P01_0417,10.1145/3757279.3788657,The Roles of Fairness and Effectiveness in Promoting Legitimacy and Cooperation with Security Robotic Authority,2026,HRI 2026 - Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,https://www.scopus.com/pages/publications/105035828438?origin=resultslist
P01_0418,10.1007/978-3-032-04160-9_18,Investigating Temperature and Reasoning Effort in AI Alignment with Human Judgment,2026,Lecture Notes in Networks and Systems,https://www.scopus.com/pages/publications/105029667205?origin=resultslist
