study_id,id,title,authors,year,doi,arxiv_id,relevance_score,pdf_status,download_url,source_db
P857,P01_2129,"Free Will, Reasons-Responsiveness and Artificial Intelligence","Kokko, V.V.",2025,,,4,no-doi,,
P859,P01_2131,"Is Best-of-N the Best of Them? Coverage, Scaling, and Optimality in Inference-Time Alignment","Huang, A.; Block, A.; Liu, Q.; Jiang, N.; Krishnamurthy, A.; Foster, D.J.",2025,,,4,no-doi,,
P861,P01_2133,VALUE-ALIGNED BEHAVIOR CLONING FOR OFFLINE REINFORCEMENT LEARNING VIA BI-LEVEL OPTIMIZATION,"Jiang, X.; Gao, N.; Zhang, X.; Dou, H.; Deng, Y.",2025,,,4,no-doi,,
P866,P01_2138,SEE-DPO: Self Entropy Enhanced Direct Preference Optimization,"Shekhar, S.; Singh, S.; Zhang, T.",2025,,,4,no-doi,,
P869,P01_2142,TOWARDS FEDERATED RLHF WITH AGGREGATED CLIENT PREFERENCE FOR LLMS,"Wu, F.; Liu, X.; Wang, H.; Wang, X.; Su, L.; Gao, J.",2025,,,4,no-doi,,
P874,P01_2149,Clone-Robust AI Alignment,"Procaccia, A.D.; Schiffer, B.; Zhang, S.",2025,,,4,no-doi,,
P878,P01_2153,AlphaVerus: Bootstrapping Formally Verified Code Generation througSelf-Improving Translation and Treefinement,"Aggarwal, P.; Parno, B.; Welleck, S.",2025,,,4,no-doi,,
P880,P01_2156,The AI off-switch problem as a signalling game: bounded rationality and incomparability,"Benavoli, A.; Facchini, A.; Zaffalon, M.",2025,,,4,no-doi,,
P881,P01_2157,When Can Proxies Improve the Sample Complexity of Preference Learning?,"Zhu, Y.; de Souza, D.A.; Shi, Z.; Yang, M.; Minervini, P.; Kusner, M.J.; D’amour, A.",2025,,,4,no-doi,,
P883,P01_2160,Preference Learning for AI Alignment: a Causal Perspective,"Kobalczyk, K.; van der Schaar, M.",2025,,,4,no-doi,,
P884,P01_2162,AS SIMPLE AS FINE-TUNING: LLM ALIGNMENT VIA BIDIRECTIONAL NEGATIVE FEEDBACK LOSS,"Mao, X.; Xu, H.; Li, F.-L.; Jin, Z.; Chen, W.; Zhang, W.; Luu, A.T.",2025,,,4,no-doi,,
P887,P01_2169,A Computational Framework for Human Values,"Osman, N.; d'Inverno, M.",2024,,,4,no-doi,,
P889,P01_2171,Safe Imitation Learning via Fast Bayesian Reward Inference from Preferences,"Brown, D.S.; Coleman, R.; Srinivasan, R.; Niekum, S.",2020,,,4,no-doi,,
P897,P01_2182,ON THE SENSITIVITY OF REWARD INFERENCE TO MISSPECIFIED HUMAN MODELS,"Hong, J.; Bhatia, K.; Dragan, A.",2023,,,4,no-doi,,
P903,P01_2191,Direct Behavior Specification via Constrained Reinforcement Learning,"Roy, J.; Girgis, R.; Romoff, J.; Bacon, P.-L.; Pal, C.",2022,,,4,no-doi,,
P906,P01_2196,CAUSAL CONFUSION AND REWARD MISIDENTIFICATION IN PREFERENCE-BASED REWARD LEARNING,"Tien, J.; He, J.Z.-Y.; Erickson, Z.; Dragan, A.D.; Brown, D.S.",2023,,,4,no-doi,,
P909,P01_2200,"An efficient, generalized bellman update for cooperative inverse reinforcement learning","Malik, D.; Palaniappan, M.; Fisac, J.F.; Hadfield-Menell, D.; Russell, S.; Dragan, A.D.",2018,,,4,no-doi,,
P913,P01_2207,"Integrative biological simulation, neuropsychology, and AI safety","Sarma, G.P.; Safron, A.; Hay, N.J.",2019,,,4,no-doi,,
P916,P01_2212,Second Thoughts are Best: Learning to Re-Align With Human Values from Text Edits,"Liu, R.; Jia, C.; Zhang, G.; Zhuang, Z.; Liu, T.X.; Vosoughi, S.",2022,,,4,no-doi,,
P921,P01_2219,THE EFFECTS OF REWARD MISSPECIFICATION: MAPPING AND MITIGATING MISALIGNED MODELS,"Pan, A.; Bhatia, K.; Steinhardt, J.",2022,,,4,no-doi,,
P925,P01_2225,Mitigating Metric Bias in Minimum Bayes Risk Decoding,"Kovacs, G.; Deutsch, D.; Freitag, M.",2024,,,4,no-doi,,
P938,P01_2248,Reward learning from human preferences and demonstrations in Atari,"Ibarz, B.; Irving, G.; Leike, J.; Legg, S.; Pohlen, T.; Amodei, D.",2018,,,4,no-doi,,
P940,P01_2250,The Use of Agent-based Simulation of Public Policy Design to Study the Value Alignment Problem,"Noriega, P.; Plaza, E.",2022,,,4,no-doi,,
P941,P01_2253,Decoding-time Realignment of Language Models,"Liu, T.; Guo, S.; Bianco, L.; Calandriello, D.; Berthet, Q.; Llinares, F.; Hoffmann, J.; Dixon, L.; Valko, M.; Blondel, M.",2024,,,4,no-doi,,
P951,P01_2267,Easy-to-Hard Generalization: Scalable Alignment Beyond Human Supervision,"Sun, Z.; Yu, L.; Shen, Y.; Liu, W.; Yang, Y.; Welleck, S.; Gan, C.",2024,,,4,no-doi,,
P952,P01_2271,MORAL: Aligning AI with Human Norms through Multi-Objective Reinforced Active Learning,"Peschl, M.; Zgonnikov, A.; Oliehoek, F.A.; Siebert, L.C.",2022,,,4,no-doi,,
P957,P01_2280,Architecting a human-like emotion-driven conscious moral mind for value alignment and AGI safety,"Waser, M.R.; Kelley, D.J.",2018,,,4,no-doi,,
P962,P01_2285,Cooperative inverse reinforcement learning,"Hadfield-Menell, D.; Dragan, A.; Abbeel, P.; Russell, S.",2016,,,4,no-doi,,
P963,P01_2289,Superintelligence as a cause or cure for risks of astronomical suffering,"Sotala, K.; Gloor, L.",2017,,,4,no-doi,,
P965,P01_2291,"Robust computer algebra, theorem proving, and oracle AI","Sarma, G.P.; Hay, N.J.",2017,,,4,no-doi,,
P967,P01_2300,Inverse reward design,"Hadfield-Menell, D.; Milli, S.; Abbeel, P.; Russell, S.; Dragan, A.D.",2017,,,4,no-doi,,
P968,P01_2301,Using stories to teach human values to artificial agents,"Riedl, M.O.; Harrison, B.",2016,,,4,no-doi,,
P970,P01_2303,The value alignment problem in advisory AI: A systematic literature review,"Triantafyllopoulos, L.; Paxinou, E.; Tzanoulinou, D.; Verykios, V.S.; Kalles, D.",2026,,,4,no-doi,,
P976,P01_2311,Rlaif: Reinforcement learning from human feedback to mitigate reward hacking,"Zhou, K.",2026,,,4,no-doi,,
P984,P01_2322,A data-driven generative strategy to avoid reward hacking in multi-objective molecular design [J],"Yoshizawa, T.; Ishida, S.; Sato, T.",2025,,,4,no-doi,,
P001,P01_0018,AI Alignment: A Contemporary Survey,Jiaming Ji; Tianyi Qiu; Boyuan Chen; Jiayi Zhou; Borong Zhang; Donghai Hong; Hantao Lou; Kaile Wang; Yawen Duan; Zhonghao He; Lukas Vierling; Zhaowei Zhang; Fanzhi Zeng; Juntao Dai; Xuehai Pan; Hua Xu; Aidan O'Gara; Kwan Ng; Brian Tse; Jie Fu; Stephen Mcaleer; Yanfeng Wang; Mingchuan Yang; Yunhuai Liu; Yizhou Wang; Song-Chun Zhu; Yike Guo; Yaodong Yang; Wen Gao,2025,10.1145/3770749,,3,paywalled,https://doi.org/10.1145/3770749,
P002,P01_0019,The Multi-Agent Off-Switch Game,Akash Agrawal; Soroush Ebadian; Lewis Hammond,2026,10.65109/HQQZ1937,,3,paywalled,https://doi.org/10.65109/HQQZ1937,
P017,P01_0194,Beyond Vibe Decision Theory: Asymmetric Manipulation Vulnerabilities in LLM Multi-Agent Coordination,"Krishna, S.; South, T.",2026,10.65109/CSL07280,,3,paywalled,https://doi.org/10.65109/CSL07280,
P018,P01_0195,Alignment with Psychological Concept Network,"Hamada, H.T.; Harada, Y.",2026,10.1007/978-981-95-4384-7_36,,3,paywalled,https://doi.org/10.1007/978-981-95-4384-7_36,
P024,P01_0211,Contemporary Debates in the Ethics of Artificial Intelligence,"Nyholm, S.; Kasirzadeh, A.; Zerilli, J.",2026,10.1002/9781394258840,,3,paywalled,https://doi.org/10.1002/9781394258840,
P025,P01_0213,"A comprehensive introspection on AI risks: taxonomy, challenges, and future directions","Ray, P.P.",2026,10.1007/s42044-025-00370-5,,3,paywalled,https://doi.org/10.1007/s42044-025-00370-5,
P027,P01_0215,ACT: A Conceptual Framework for Understanding and Controlling Trustworthiness in Controllable AI,"Turaga, V.S.P.; Gopali, S.; Kieseberg, P.; Pahi, T.; Tjoa, S.; Jones, K.S.; Namin, A.S.",2026,10.1109/ACCESS.2026.3694817,,3,oa-link-failed,https://doi.org/10.1109/ACCESS.2026.3694817,
P031,P01_0220,Stance-Dependent Fallacy Judgments and Rhetorical Structure: A Computationally Assisted Case Study of Tolstoy’s What Is Art?,"Zhang, S.",2026,10.1007/s10503-026-09704-4,,3,paywalled,https://doi.org/10.1007/s10503-026-09704-4,
P042,P01_0248,"Can Large Language Models Govern Themselves? A Technical, Ethical, and Governance Perspective","Bouneffouf, D.",2026,10.1145/3774905.3795091,,3,paywalled,https://doi.org/10.1145/3774905.3795091,
P043,P01_0250,Human-Machine Moral Divergence,"Firt, E.",2026,10.1007/978-3-032-15112-4_48,,3,paywalled,https://doi.org/10.1007/978-3-032-15112-4_48,
P045,P01_0252,The Power of Stories: Narrative Priming in Networked Multi-Agent LLM Interactions,"Großmann, G.; Ivanova, L.; Poduru, S.L.; Tabrizian, M.; Mesabah, I.; Selby, D.A.; Vollmer, S.J.",2026,10.1007/978-3-032-09315-8_11,,3,paywalled,https://doi.org/10.1007/978-3-032-09315-8_11,
P047,P01_0256,Quantitative Analysis Model for Multi-Component Gas Infrared Spectrum Based on the Transformer Structure,"Li, Z.",2026,10.3788/LOP250829,,3,paywalled,https://doi.org/10.3788/LOP250829,
P051,P01_0263,"They Do the Right Thing, Right? Large Language Models’ Decisions in Ethical Dilemmas Involving Robots","Yass-Coy, J.; Daniels, T.",2026,10.1007/978-3-032-30846-7_36,,3,paywalled,https://doi.org/10.1007/978-3-032-30846-7_36,
P057,P01_0274,A Method of Heuristic Human-LLM Collaborative Source Search,"Yi, C.; Sihang, Q.; Zhengqiu, Z.; Yatai, J.; Yong, Z.; Rusheng, J.",2025,10.16182/j.issn1004731x.joss.25-FZ0646E,,3,paywalled,https://doi.org/10.16182/j.issn1004731x.joss.25-FZ0646E,
P059,P01_0276,Bidirectional transparency in human-agent communications: effects of direction and level of transparency,"Xu, X.; Yu, R.; Yuan, M.; Zheng, J.",2026,10.1080/00140139.2025.2456535,,3,paywalled,https://doi.org/10.1080/00140139.2025.2456535,
P060,P01_0278,Heterogeneous Value Alignment Evaluation for Large Language Models,"Zhang, Z.; Zhang, C.; Liu, N.; Qi, S.; Rong, Z.; Zhu, S.-C.; Yang, Y.",2026,10.1007/978-3-032-00800-8_34,,3,paywalled,https://doi.org/10.1007/978-3-032-00800-8_34,
P062,P01_0287,"The phygital intelligence value experience (PHIVE) matrix: the good, the bad, and the ugly of AI marketing for customer experience design","Batat, W.",2026,10.1080/0965254X.2026.2682414,,3,paywalled,https://doi.org/10.1080/0965254X.2026.2682414,
P064,P01_0293,Anthropomorphic traits and user loyalty: exploring the mediating role of perceived value in chatbot usage in China,"Xi, Y.; Deng, T.",2026,10.1080/1369118X.2025.2557549,,3,paywalled,https://doi.org/10.1080/1369118X.2025.2557549,
P066,P01_0301,On Algorithmic Ethics: Examining AI Decision-Making Mechanisms From the Perspective of Kant's Moral Philosophy,"Xu, Y.",2026,10.4018/IJT.413061,,3,oa-link-failed,https://doi.org/10.4018/IJT.413061,
P067,P01_0306,Human-AI Interaction in LLM,"Zakershahrak, M.",2026,10.1007/978-981-95-3658-0_72,,3,paywalled,https://doi.org/10.1007/978-981-95-3658-0_72,
P077,P01_0322,"Governing Generative AI for Healthy Ageing: A Normative Conceptual Framework for Societal Alignment, Epistemic Authority, and Value Convergence in Geriatric Care","Alves Ferreira, J.M.; Tukaiev, S.; Giannouli, V.",2026,10.3390/healthcare14121660,,3,oa-link-failed,https://doi.org/10.3390/healthcare14121660,
P081,P01_0329,A Mathematical Framework for Wise AI,"Grijalva, S.; Grijalva, N.",2026,10.1109/SoutheastCon63549.2026.11476287,,3,paywalled,https://doi.org/10.1109/SoutheastCon63549.2026.11476287,
P083,P01_0335,Generative Artificial Intelligence for Social Impact,"Kong, L.; Kim, C.W.; Choo, D.; Tambe, M.",2026,10.1109/MIS.2026.3652763,,3,paywalled,https://doi.org/10.1109/MIS.2026.3652763,
P090,P01_0349,"The Bateson Game: A Model of Strategic Ambiguity, Frame Uncertainty, and Pathological Learning","Fathi, K.",2025,10.3390/g16060057,,3,oa-link-failed,https://doi.org/10.3390/g16060057,
P1000,P01_2345,Multiculturalism and AI Value Alignment,"Townsend, Beverley A",2025,,,3,no-doi,,
P1001,P01_2347,Normative conflicts and shallow ai alignment: R. millière,"Milli��re, Rapha��l",2025,,,3,no-doi,,
P1002,P01_2348,Justifications for Democratizing AI Alignment and Their Prospects,"Steingr��ber, A.; Baum, K.",2025,,,3,no-doi,,
P1004,P01_2350,Whose values prevail? Bias in large language model value alignment,"Qi, Ruoxi; Papyshev, Gleb; Tsai, Kellee; Chan, Antoni B; Hsiao, Janet",2025,,,3,no-doi,,
P1005,P01_2352,The hard problem of AI alignment: value forks in moral judgment,"Kneer, M; Viehoff, J",2025,,,3,no-doi,,
P1006,P01_2353,Intelligence AI alignment and Mamba,"Ma, Y.",2025,,,3,no-doi,,
P1007,P01_2356,Global order and AI alignment-a theoretical perspective of international relations on governing technological risk,"Pang, X.",2025,,,3,no-doi,,
P1008,P01_2357,The value alignment dilemma and transcendence of generative artificial intelligence applied in teacher education,"Wang, K.; Long, H.Y.; Xu, X.Y.; Guo, J.W.",2025,,,3,no-doi,,
P1011,P01_2364,AI alignment in grey wolf optimizer hybrids,"Smart, B.; Niu, R.",2025,,,3,no-doi,,
P1013,P01_2367,Position: Towards Bidirectional Human-AI Alignment,"Shen, Hua; Knearem, Tiffany; Ghosh, Reshmi; Alkiek, Kenan; Krishna, Kundan; Liu, Yachuan; Petridis, Savvas; Peng, Yi-Hao; Qiwei, Li; Si, Chenglei; Xie, Yutong; Bigham, Jeffrey P.; Bentley, Frank; Chai, Joyce; Lipton, Zachary Chase; Mei, Qiaozhu; Terry, Michael; Yang, Diyi; Morris, Meredith Ringel; Resnick, Paul; Jurgens, David",2025,,,3,no-doi,,
P1014,P01_2368,Can AI Have a Soul? Reflections on Value Alignment and Constitutional AI,"Askell, A.",2025,,,3,no-doi,,
P1015,P01_2370,AI Value Alignment as Governance,"Cao, J.",2025,,,3,no-doi,,
P1016,P01_2371,Moral Anchor System: A Predictive Framework for AI Value Alignment and Drift Prevention,"Ravindran, S.K.",2025,,,3,no-doi,,
P1018,P01_2373,Legal and administrative frameworks as foundations for AI alignment with human volition,"Josifović, S.",2025,,,3,no-doi,,
P1019,P01_2374,Cultural Value Alignment in Large Language Models: A Promptbased Analysis of Schwartz Values in Gemini,"Segerer, R.",2025,,,3,no-doi,,
P1020,P01_2378,Reflections on the AI alignment problem,"Bruiger, Dan",2025,,,3,no-doi,,
P1021,P01_2382,Neurodivergent influenceability as a contingent solution to the ai alignment problem,"Hernández-Espinosa, A.; Abrahão, F.S.; Witkowski, O.; Zenil, H.",2025,,,3,no-doi,,
P1022,P01_2383,"AI agents, automaticity, and value alignment in health care","Taylor, R.A.",2025,,,3,no-doi,,
P1023,P01_2384,New Perspectives on AI Alignment,"Belliger, Andréa; Krieger, David J.",2025,,,3,no-doi,,
P1024,P01_2385,Measuring AI alignment with human flourishing,"Hilliard, E.; Jagadeesh, A.; Cook, A.; Billings, S.; Skytland, N.; Llewellyn, A.; Paull, J.; Paull, N.; KuryloƗ, N.; Nesbitt, K.",2025,,,3,no-doi,,
P1026,P01_2388,Pluralism in AI Value Alignment: Motivations and Methods,"Paris, H.; Phillip, H.",2025,,,3,no-doi,,
P1027,P01_2391,A neurosymbolic approach to AI alignment,"Wagner, Benedikt J.; d’Avila Garcez, Artur",2024,,,3,no-doi,,
P1030,P01_2399,Representative social choice: From learning theory to ai alignment,"Qiu, Tianyi",2024,,,3,no-doi,,
P1031,P01_2403,Social choice for ai alignment: Dealing with diverse human feedback,"Conitzer, Vincent; Freedman, Rachel; Heitzig, Jobst; Holliday, Wesley H; Jacobs, Bob M; Lambert, Nathan; Mosse, Milan; Pacuit, Eric; Russell, Stuart; Schoelkopf, Hailey",2024,,,3,no-doi,,
P1032,P01_2404,Incentive compatibility for ai alignment in sociotechnical systems: Positions and prospects,"Zhang, Z.; Bai, F.; Wang, M.; Ye, H.; Ma, C.; Yang, Y.",2024,,,3,no-doi,,
P1033,P01_2405,Humanistic Considerations in Value Alignment for Large-Scale Artificial Intelligence Models,"Lin, A.; Chang, Y.",2024,,,3,no-doi,,
P1034,P01_2406,Uncovering mesa-optimization algorithms in transformers,"von Oswald, Johannes; Niklasson, Eyvind; Schlegel, Maximilian; Kobayashi, Seijin; Zucchet, Nicolas; Scherrer, Nino; Miller, Nolan; Sandler, Mark; Agüera, Blaise; Vladymyrov, Max; Pascanu, Razvan; Sacramento, João",2024,,,3,no-doi,,
P1035,P01_2408,A comparative study of value alignment in generative artificial intelligence: Based on experimental news commentaries generated on ten major international events (2012-2023),"Hu, Z.R.; Yan, J.Q.",2024,,,3,no-doi,,
P1037,P01_2412,LocalValueBench: A collaboratively built and extensible benchmark for evaluating localized value alignment and ethical safety in large language models,"Meadows, G.I.; Long Lau, N.W.; Susanto, E.A.; Chi Lok, Y.; Paul, A.",2024,,,3,no-doi,,
P1038,P01_2413,Combining Theory of Mind and Kindness for Self-Supervised Human-AI Alignment,"Hewson, J.T.S.",2024,,,3,no-doi,,
P1039,P01_2414,On the Confusion between Inner and Outer Misalignment,"Leong, C.",2024,,,3,no-doi,,
P1040,P01_2415,Mechanisms of innovation and AI value alignment of AI art in the AIGC era,"Xie, X. F.; Lin, S. Y.",2024,,,3,no-doi,,
P1041,P01_2416,Variable value alignment by design; averting risks with robot religion,"White, J.",2024,,,3,no-doi,,
P1042,P01_2418,A matter of principle? AI alignment as the fair treatment of claims,"Gabriel, I.; Keeling, G.",2024,,,3,no-doi,,
P1043,P01_2419,AI alignment vs AI ethical treatment: Ten challenges,"Bradley, A.; Saad, B.",2024,,,3,no-doi,,
P1044,P01_2421,Plurality of value pluralism and ai value alignment,"Kasirzadeh, A.",2024,,,3,no-doi,,
P1045,P01_2422,Dynamic normativity: Necessary and sufficient conditions for value alignment,"Corrêa, N.K.",2024,,,3,no-doi,,
P1046,P01_2423,How to measure value alignment in AI,"Peterson, M.; Gärdenfors, P.",2024,,,3,no-doi,,
P1047,P01_2424,Human values from Indian philosophy to solve AI alignment problem,"Chaturvedi, S.",2024,,,3,no-doi,,
P1048,P01_2425,AI Alignment through Reinforcement Learning from Human Feedback?,"Dahlgren Lindstrom, A.; Methnani, L.; Krause, L.; Ericson, P.; Martinez, I.; Rituerto, D.; Troya, D.; Coelho Mollo, D.; Dobbe, R.",2024,,,3,no-doi,,
P1049,P01_2427,The obscure politics of artificial intelligence: A Marxian socio-technical critique of the AI alignment problem thesis,"Cugurullo, F.",2024,,,3,no-doi,,
P1050,P01_2428,Toward human-AI alignment in large-scale multi-player games,"Sharma, S.; Davidson, G.; Khetarpal, K.; Kanervisto, A.; Arora, U.; Hofmann, K.; Momennejad, I.",2024,,,3,no-doi,,
P1051,P01_2433,Artificial intelligence in enterprise applications: Unlocking potential and driving growth. Multishoring. Beyond preferences in AI alignment,,2024,,,3,no-doi,,
P1052,P01_2434,AI value alignment: Guiding artificial intelligence towards shared values,,2024,,,3,no-doi,,
P1054,P01_2437,Value alignment: research on the risks of AI cultural technology ethics and good governance in the AIGC era,"XIE, X F; QU, C.",2024,,,3,no-doi,,
P1055,P01_2439,Human-AI alignment for responsible governance,"Marmolejo-Ramos, F.",2024,,,3,no-doi,,
P1056,P01_2440,Mechanisms of AI art innovation and AI value alignment in the AIGC era (01),"Xie, X.F.; Lin, S.Y.",2024,,,3,no-doi,,
P1057,P01_2441,Value Alignment without Institutional Change Cannot Prevent the Societal Risks of Artificial Intelligence,"Ferretti, T.",2024,,,3,no-doi,,
P1058,P01_2442,ValueCompass: A framework for measuring contextual value alignment between human and LLMs,"Shen, Hua; Knearem, Tiffany; Ghosh, Reshmi; Yang, Yu-Ju; Mitra, Tanushree; Huang, Yun",2024,,,3,no-doi,,
P1060,P01_2444,How ethical should AI be? How AI alignment shapes the risk preferences of llms,"Ouyang, S.; Yun, H.; Zheng, X.",2024,,,3,no-doi,,
P1061,P01_2446,An ability to respond begins with inner alignment: How phase synchronisation effects transitions to higher levels of agency,"Tissot, Tazzio; Levin, Mike; Buckley, Chris; Watson, Richard",2024,,,3,no-doi,,
P1062,P01_2447,Value alignment in the generative ai augmented workforce [Preprint],"Teng, D.; Ye, C.; Martinez, V.",2024,,,3,no-doi,,
P1063,P01_2449,Challenges and future directions of Data-Centric AI alignment,"Yeh, M.H.; Wang, J.; Du, X.; Park, S.; Tao, L.; Im, S.; Li, Y.",2024,,,3,no-doi,,
P1064,P01_2450,Open-source can be dangerous: On the vulnerability of value alignment in opensource LLMs,,2024,,,3,no-doi,,
P1065,P01_2451,Valuecompass: A framework of fundamental values for human-ai alignment,"Shen, Hua; Knearem, Tiffany; Ghosh, Reshmi; Yang, Yu-Ju; Mitra, Tanushree; Huang, Yun",2024,,,3,no-doi,,
P1067,P01_2455,Deceptive Alignment Is a Real AI Risk,"Hendrycks, D.",2024,,,3,no-doi,,
P1068,P01_2459,AI alignment boundaries,"Spasokukotskiy, K.",2024,,,3,no-doi,,
